track_id,file_name,song_title,artist_name,genre,emotion_category,emotion_subcategory,contributor,standardized_audio_path,standardized_image_path,lyrics_path,congruence_audio_visual,congruence_audio_lyric,master_congruence,z_audio_visual,z_audio_lyric,master_congruence_z
track_001,$0.wav,$0,Cameron Winters,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Sadness, Loss & Lament",Grief-stricken / Mourning,Sabria,01_Processed_Data/audio/track_001.wav,01_Processed_Data/images/track_001.jpg,01_Processed_Data/lyrics/track_001.txt,0.073653005,0.036426313,0.05503966,-1.5912918,-1.6816819,-1.6364868
track_002,1245-stripped.wav,12:45 - Stripped,Etham,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Sadness, Loss & Lament",Bittersweet / Nostalgic,Jazlyn,01_Processed_Data/audio/track_002.wav,01_Processed_Data/images/track_002.jpg,01_Processed_Data/lyrics/track_002.txt,0.21015358,0.1622397,0.18619664,0.4581013,0.39621964,0.42716047
track_003,1999.wav,1999,Charli xcx,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Amused / Playful,Sabria,01_Processed_Data/audio/track_003.wav,01_Processed_Data/images/track_003.jpg,01_Processed_Data/lyrics/track_003.txt,0.18653667,0.15774038,0.17213853,0.103521615,0.3219101,0.21271586
track_004,360.wav,360,Charli xcx,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Amused / Playful,Olivia,01_Processed_Data/audio/track_004.wav,01_Processed_Data/images/track_004.jpg,01_Processed_Data/lyrics/track_004.txt,0.0653171,0.17132983,0.11832346,-1.7164453,0.5463498,-0.5850477
track_005,:).wav,:) ,The Japanese House,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Joyful / Happy,Sabria,01_Processed_Data/audio/track_005.wav,01_Processed_Data/images/track_005.jpg,01_Processed_Data/lyrics/track_005.txt,0.24877775,0.09820429,0.17349102,1.037997,-0.66137266,0.18831217
track_006,a-pearl.wav,A Pearl,Mitski,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Tension, Threat & Aggression",Anxious / Nervous,Sabria,01_Processed_Data/audio/track_006.wav,01_Processed_Data/images/track_006.jpg,01_Processed_Data/lyrics/track_006.txt,0.23632568,0.16019288,0.19825928,0.8510441,0.36241484,0.6067295
track_007,a-trick-of-the-light.wav,A Trick of the light,Villagers,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Dreaminess, Curiosity & Ambiguity",Conflicted / Mixed,Jiexin,01_Processed_Data/audio/track_007.wav,01_Processed_Data/images/track_007.jpg,01_Processed_Data/lyrics/track_007.txt,0.07461913,0.09704599,0.08583256,-1.5767865,-0.68050295,-1.1286447
track_008,a-whiter-shade-of-pale.wav,A Whiter Shade of Pale,Procol Harum,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Awe, Beauty & Transcendence",Beautiful / Aesthetic Appreciation,Bowen,01_Processed_Data/audio/track_008.wav,01_Processed_Data/images/track_008.jpg,01_Processed_Data/lyrics/track_008.txt,0.1898609,0.07772761,0.13379425,0.1534309,-0.99956036,-0.42306474
track_009,ain't-it-funny.wav,Aint It Funny ,Danny Brown,"Metal [Heavy Metal, Thrash, Doom, Metalcore, Black Metal]","Tension, Threat & Aggression",Anxious / Nervous,Sabria,01_Processed_Data/audio/track_009.wav,01_Processed_Data/images/track_009.jpg,01_Processed_Data/lyrics/track_009.txt,0.20943888,0.21204525,0.21074206,0.44737086,1.2187953,0.8330831
track_010,air-supply.wav,Air Supply,Sweet Trip,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Dreaminess, Curiosity & Ambiguity",Dreamy / Floating,Sabria,01_Processed_Data/audio/track_010.wav,01_Processed_Data/images/track_010.jpg,01_Processed_Data/lyrics/track_010.txt,0.18694003,0.056985203,0.121962614,0.109577574,-1.3421366,-0.61627954
track_011,all-by-myself.wav,All By Myself,Celine Dion,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Sadness, Loss & Lament",Grief-stricken / Mourning,Jazlyn,01_Processed_Data/audio/track_011.wav,01_Processed_Data/images/track_011.jpg,01_Processed_Data/lyrics/track_011.txt,0.1970538,0.19305438,0.19505408,0.26142383,0.90514696,0.5832854
track_012,amazing-grace.wav,Amazing Grace,Hayley Westenra,"Classical [Orchestral, Baroque, Chamber, Opera, Romantic]","Awe, Beauty & Transcendence",Transcendent / Spiritual,Jazlyn,01_Processed_Data/audio/track_012.wav,01_Processed_Data/images/track_012.jpg,01_Processed_Data/lyrics/track_012.txt,0.10957329,0.06308285,0.086328074,-1.0519916,-1.2414293,-1.1467104
track_013,anchor.wav,Anchor,Novo Amor,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Dreaminess, Curiosity & Ambiguity",Dreamy / Floating,Jiexin,01_Processed_Data/audio/track_013.wav,01_Processed_Data/images/track_013.jpg,01_Processed_Data/lyrics/track_013.txt,0.24703981,0.23307523,0.24005753,1.011904,1.5661211,1.2890126
track_014,anenome.wav,Anemone,Brian Jonestown Massacre,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Tension, Threat & Aggression",Anxious / Nervous,Bowen,01_Processed_Data/audio/track_014.wav,01_Processed_Data/images/track_014.jpg,01_Processed_Data/lyrics/track_014.txt,0.22884884,0.08673685,0.15779285,0.73878837,-0.850766,-0.05598882
track_015,animals.wav,Animals,Muse ,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Tension, Threat & Aggression",Tense / Agitated,Jiexin,01_Processed_Data/audio/track_015.wav,01_Processed_Data/images/track_015.jpg,01_Processed_Data/lyrics/track_015.txt,0.1662773,0.06916192,0.11771961,-0.20064855,-1.141029,-0.6708388
track_016,another-day-of-sun.wav,Another Day of Sun,La La Land Cast,"Jazz [Bebop, Swing, Fusion, Smooth Jazz, Big Band, Blues]",Vital & Joyful,Pumped Up / Energized,Jiexin,01_Processed_Data/audio/track_016.wav,01_Processed_Data/images/track_016.jpg,01_Processed_Data/lyrics/track_016.txt,0.1920183,0.021867398,0.10694285,0.18582174,-1.9221332,-0.8681557
track_017,are-you-bored-yet-(feat.-clairo).wav,Are You Bored Yet (feat. Clairo),Wallows,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]",Tender & Intimacy,Comforted / Safe,Sabria,01_Processed_Data/audio/track_017.wav,01_Processed_Data/images/track_017.jpg,01_Processed_Data/lyrics/track_017.txt,0.23550268,0.16850922,0.20200595,0.83868766,0.49976534,0.6692265
track_018,au-pays-du-cocaine.wav,Au Pays du Cocaine,Geese,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Sadness, Loss & Lament",Sad / Sorrowful,Sabria,01_Processed_Data/audio/track_018.wav,01_Processed_Data/images/track_018.jpg,01_Processed_Data/lyrics/track_018.txt,0.13774483,0.19507337,0.1664091,-0.6290296,0.938492,0.15473121
track_019,bad-guy.wav,Bad Guy,Billie Eilish,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Tension, Threat & Aggression",Angry / Aggressive,Jiexin,01_Processed_Data/audio/track_019.wav,01_Processed_Data/images/track_019.jpg,01_Processed_Data/lyrics/track_019.txt,0.2708351,0.0901759,0.1805055,1.3691618,-0.7939676,0.28759712
track_020,because-you-loved-me.wav,Because You Loved Me,Celine Dion,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Tender & Intimacy,Romantic / Loving,Bowen,01_Processed_Data/audio/track_020.wav,01_Processed_Data/images/track_020.jpg,01_Processed_Data/lyrics/track_020.txt,0.19809406,0.15208378,0.17508891,0.27704194,0.22848715,0.25276455
track_021,before-i-sleep.wav,Before I Sleep,Marika Hackman,"Folk / Acoustic [Singer-songwriter, Traditional Folk, Americana]","Tension, Threat & Aggression",Anxious / Nervous,Olivia,01_Processed_Data/audio/track_021.wav,01_Processed_Data/images/track_021.jpg,01_Processed_Data/lyrics/track_021.txt,0.24115162,0.2242279,0.23268977,0.92349976,1.4200009,1.1717503
track_022,believer.wav,Believer,Imagine Dragons,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Tension, Threat & Aggression",Angry / Aggressive,Jiexin,01_Processed_Data/audio/track_022.wav,01_Processed_Data/images/track_022.jpg,01_Processed_Data/lyrics/track_022.txt,0.17193806,0.06020274,0.116070405,-0.11565904,-1.2889966,-0.7023278
track_023,best-part.wav,Best Part,Daniel Caesar feat. H.E.R.,"R&B / Soul [Contemporary R&B, Neo-soul, Funk, Motown, Blues, Reggae]",Tender & Intimacy,Erotic / Sensual,Jiexin,01_Processed_Data/audio/track_023.wav,01_Processed_Data/images/track_023.jpg,01_Processed_Data/lyrics/track_023.txt,0.039635506,0.17335144,0.10649347,-2.1020238,0.5797382,-0.76114285
track_024,better-things.wav,Better Things,aespa,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Triumphant / Victorious,Olivia,01_Processed_Data/audio/track_024.wav,01_Processed_Data/images/track_024.jpg,01_Processed_Data/lyrics/track_024.txt,0.19158131,0.10295378,0.14726755,0.17926085,-0.5829314,-0.20183527
track_025,bittersweet.wav,bittersweet,Madison Beer,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Sadness, Loss & Lament",Bittersweet / Nostalgic,Olivia,01_Processed_Data/audio/track_025.wav,01_Processed_Data/images/track_025.jpg,01_Processed_Data/lyrics/track_025.txt,0.33741423,0.122899644,0.23015694,2.368768,-0.2535106,1.0576286
track_026,bloody-samaritan.wav,Bloody Samaritan (Remix),Ayra Starr,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Vital & Joyful,Pumped Up / Energized,Olivia,01_Processed_Data/audio/track_026.wav,01_Processed_Data/images/track_026.jpg,01_Processed_Data/lyrics/track_026.txt,0.19579452,0.198183,0.19698876,0.24251722,0.9898499,0.6161836
track_027,bloom-bonus-track.wav,Bloom,The Paper Kites,"Rock [Alternative, Indie, Punk, Grunge, Classic Rock]","Dreaminess, Curiosity & Ambiguity",Dreamy / Floating,Bowen,01_Processed_Data/audio/track_027.wav,01_Processed_Data/images/track_027.jpg,01_Processed_Data/lyrics/track_027.txt,0.21788621,0.28273928,0.25031275,0.5741975,2.3863597,1.4802786
track_028,breathe.wav,Breathe,Telepopmusik,"Electronic [EDM, House, Techno, Dubstep, Trance]","Awe, Beauty & Transcendence",Transcendent / Spiritual,Bowen,01_Processed_Data/audio/track_028.wav,01_Processed_Data/images/track_028.jpg,01_Processed_Data/lyrics/track_028.txt,0.06988897,0.07734413,0.07361655,-1.6478041,-1.0058938,-1.326849
track_029,by-this-river.wav,By This River,Brian Eno,"Ambient / Soundtrack [Film Score, Drone, Atmospheric, New Age]","Awe, Beauty & Transcendence",Peaceful / Relaxed,Jiexin,01_Processed_Data/audio/track_029.wav,01_Processed_Data/images/track_029.jpg,01_Processed_Data/lyrics/track_029.txt,0.18614797,0.23261552,0.20938174,0.0976858,1.5585285,0.8281072
track_030,can-you-feel-the-love-tonight.wav,Can you feel the love tonight,Anson Seabra,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Tender & Intimacy,Romantic / Loving,Jiexin,01_Processed_Data/audio/track_030.wav,01_Processed_Data/images/track_030.jpg,01_Processed_Data/lyrics/track_030.txt,0.20816982,0.17833665,0.19325323,0.4283175,0.6620727,0.5451951
track_031,champion.wav,Champion,Kanye West,"Hip-Hop [Rap, Trap, Boom Bap, Lo-fi, Grime]",Vital & Joyful,Triumphant / Victorious,Sabria,01_Processed_Data/audio/track_031.wav,01_Processed_Data/images/track_031.jpg,01_Processed_Data/lyrics/track_031.txt,0.16454275,0.104541406,0.13454208,-0.22669081,-0.55671054,-0.39170069
track_032,cherry-coloured-funk.wav,Cherry-Coloured Funk,Cocteau Twins,"Ambient / Soundtrack [Film Score, Drone, Atmospheric, New Age]","Awe, Beauty & Transcendence",Peaceful / Relaxed,Sabria,01_Processed_Data/audio/track_032.wav,01_Processed_Data/images/track_032.jpg,01_Processed_Data/lyrics/track_032.txt,0.20889728,0.11499109,0.16194418,0.4392394,-0.38412625,0.027556583
track_033,chihiro.wav,CHIHIRO,Billie Eilish,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]","Dreaminess, Curiosity & Ambiguity",Dreamy / Floating,Olivia,01_Processed_Data/audio/track_033.wav,01_Processed_Data/images/track_033.jpg,01_Processed_Data/lyrics/track_033.txt,0.2160485,0.15157865,0.18381357,0.5466064,0.22014448,0.38337547
track_034,chop-suey.wav,Chop Suey!,System Of A Down,"Metal [Heavy Metal, Thrash, Doom, Metalcore, Black Metal]","Tension, Threat & Aggression",Tense / Agitated,Jazlyn,01_Processed_Data/audio/track_034.wav,01_Processed_Data/images/track_034.jpg,01_Processed_Data/lyrics/track_034.txt,0.13609466,0.12819956,0.1321471,-0.6538049,-0.16597852,-0.40989172
track_035,christmas-list.wav,Christmas List,Anson Seabra,"Pop [Dance-pop, K-pop, Synth-pop, Teen-pop]",Tender & Intimacy,Tender / Warm,Jazlyn,01_Processed_Data/audio/track_035.wav,01_Processed_Data/images/track_035.jpg,01_Processed_Data/lyrics/track_035.txt,0.17410313,0.15545422,0.16477868,-0.08315319,0.28415236,0.100499585
track_036,come-away-with-me.wav,Come Away With Me,Norah Jones,"Jazz [Bebop, Swing, Fusion, Smooth Jazz, Big Band, Blues]","Awe, Beauty & Transcendence",Peaceful / Relaxed,Bowen,01_Processed_Data/audio/track_036.wav,01_Processed_Data/images/track_036.jpg,01_Processed_Data/lyrics/track_036.txt,0.23394883,0.1414352,0.18769202,0.8153585,0.052617967,0.43398824
