,audio_ib_orig,audio_ib_random,audio_ib_energy,audio_mert_orig,audio_mert_random,audio_mert_energy,image_ib,image_clip,text_ib,text_ib_chorus,text_ib_multi,text_clap,text_clap_chorus,text_clap_multi
audio_ib_orig,1.0,0.349,0.367,0.127,0.107,0.125,0.052,0.045,0.028,0.022,0.037,0.03,0.021,0.025
audio_ib_random,0.349,1.0,0.42,0.124,0.113,0.125,0.045,0.048,0.031,0.027,0.041,0.029,0.023,0.026
audio_ib_energy,0.367,0.42,1.0,0.134,0.12,0.141,0.047,0.047,0.028,0.026,0.051,0.028,0.028,0.024
audio_mert_orig,0.127,0.124,0.134,1.0,0.572,0.594,0.035,0.031,0.024,0.024,0.035,0.021,0.025,0.025
audio_mert_random,0.107,0.113,0.12,0.572,1.0,0.561,0.043,0.038,0.021,0.023,0.026,0.018,0.023,0.025
audio_mert_energy,0.125,0.125,0.141,0.594,0.561,1.0,0.039,0.034,0.025,0.021,0.035,0.021,0.025,0.029
image_ib,0.052,0.045,0.047,0.035,0.043,0.039,1.0,0.207,0.025,0.024,0.027,0.019,0.021,0.027
image_clip,0.045,0.048,0.047,0.031,0.038,0.034,0.207,1.0,0.02,0.029,0.029,0.028,0.023,0.026
text_ib,0.028,0.031,0.028,0.024,0.021,0.025,0.025,0.02,1.0,0.048,0.152,0.057,0.029,0.043
text_ib_chorus,0.022,0.027,0.026,0.024,0.023,0.021,0.024,0.029,0.048,1.0,0.045,0.025,0.055,0.041
text_ib_multi,0.037,0.041,0.051,0.035,0.026,0.035,0.027,0.029,0.152,0.045,1.0,0.055,0.034,0.066
text_clap,0.03,0.029,0.028,0.021,0.018,0.021,0.019,0.028,0.057,0.025,0.055,1.0,0.025,0.12
text_clap_chorus,0.021,0.023,0.028,0.025,0.023,0.025,0.021,0.023,0.029,0.055,0.034,0.025,1.0,0.037
text_clap_multi,0.025,0.026,0.024,0.025,0.025,0.029,0.027,0.026,0.043,0.041,0.066,0.12,0.037,1.0
