encoder,label,within_block_mean,between_block_mean,block_contrast
audio_ib_orig,label_emotion,0.4388,0.4058,0.033
audio_ib_orig,label_subcategory,0.4449,0.4098,0.0351
audio_ib_orig,label_contributor,0.438,0.4046,0.0334
audio_ib_orig,label_genre_top,0.4789,0.3943,0.0845
audio_ib_random,label_emotion,0.4435,0.4019,0.0416
audio_ib_random,label_subcategory,0.4551,0.4068,0.0483
audio_ib_random,label_contributor,0.434,0.4024,0.0316
audio_ib_random,label_genre_top,0.4758,0.392,0.0838
audio_ib_energy,label_emotion,0.4503,0.4084,0.0419
audio_ib_energy,label_subcategory,0.4605,0.4134,0.0471
audio_ib_energy,label_contributor,0.4427,0.4085,0.0343
audio_ib_energy,label_genre_top,0.4874,0.3973,0.09
audio_mert_orig,label_emotion,0.8614,0.8568,0.0047
audio_mert_orig,label_subcategory,0.8621,0.8573,0.0048
audio_mert_orig,label_contributor,0.8599,0.8569,0.003
audio_mert_orig,label_genre_top,0.8663,0.8554,0.0109
audio_mert_random,label_emotion,0.8682,0.8635,0.0047
audio_mert_random,label_subcategory,0.8684,0.8641,0.0043
audio_mert_random,label_contributor,0.8663,0.8638,0.0025
audio_mert_random,label_genre_top,0.8717,0.8624,0.0093
audio_mert_energy,label_emotion,0.868,0.8625,0.0055
audio_mert_energy,label_subcategory,0.8686,0.8632,0.0054
audio_mert_energy,label_contributor,0.8658,0.8628,0.003
audio_mert_energy,label_genre_top,0.8722,0.8612,0.011
image_ib,label_emotion,0.3397,0.3375,0.0022
image_ib,label_subcategory,0.345,0.3376,0.0074
image_ib,label_contributor,0.3478,0.3354,0.0123
image_ib,label_genre_top,0.3565,0.3332,0.0233
image_clip,label_emotion,0.4681,0.464,0.004
image_clip,label_subcategory,0.4733,0.4644,0.0089
image_clip,label_contributor,0.4712,0.4631,0.0081
image_clip,label_genre_top,0.4758,0.4619,0.0138
text_ib,label_emotion,0.4299,0.4237,0.0062
text_ib,label_subcategory,0.4315,0.4244,0.0071
text_ib,label_contributor,0.4277,0.4239,0.0038
text_ib,label_genre_top,0.4429,0.4202,0.0227
text_ib_chorus,label_emotion,0.4516,0.4469,0.0047
text_ib_chorus,label_subcategory,0.4593,0.4472,0.0121
text_ib_chorus,label_contributor,0.4496,0.4472,0.0024
text_ib_chorus,label_genre_top,0.4541,0.4461,0.008
text_ib_multi,label_emotion,0.6074,0.5995,0.0078
text_ib_multi,label_subcategory,0.6098,0.6004,0.0094
text_ib_multi,label_contributor,0.6047,0.5998,0.0048
text_ib_multi,label_genre_top,0.62,0.596,0.0239
text_clap,label_emotion,0.5156,0.5062,0.0094
text_clap,label_subcategory,0.5205,0.5072,0.0133
text_clap,label_contributor,0.5082,0.5076,0.0007
text_clap,label_genre_top,0.514,0.5061,0.0079
text_clap_chorus,label_emotion,0.3711,0.3616,0.0095
text_clap_chorus,label_subcategory,0.3742,0.3627,0.0115
text_clap_chorus,label_contributor,0.3621,0.3634,-0.0013
text_clap_chorus,label_genre_top,0.3669,0.3622,0.0048
text_clap_multi,label_emotion,0.6981,0.6846,0.0136
text_clap_multi,label_subcategory,0.7052,0.686,0.0192
text_clap_multi,label_contributor,0.6897,0.686,0.0037
text_clap_multi,label_genre_top,0.6962,0.6844,0.0118
