,audio_ib_orig,audio_ib_random,audio_ib_energy,audio_mert_orig,audio_mert_random,audio_mert_energy,image_ib,image_clip,text_ib,text_clap
audio_ib_orig,1.0,0.345,0.367,0.127,0.12,0.125,0.052,0.045,0.028,0.03
audio_ib_random,0.345,1.0,0.445,0.125,0.112,0.129,0.037,0.049,0.026,0.028
audio_ib_energy,0.367,0.445,1.0,0.134,0.124,0.141,0.047,0.047,0.028,0.028
audio_mert_orig,0.127,0.125,0.134,1.0,0.569,0.594,0.035,0.031,0.024,0.021
audio_mert_random,0.12,0.112,0.124,0.569,1.0,0.546,0.037,0.031,0.022,0.025
audio_mert_energy,0.125,0.129,0.141,0.594,0.546,1.0,0.039,0.034,0.025,0.021
image_ib,0.052,0.037,0.047,0.035,0.037,0.039,1.0,0.207,0.025,0.019
image_clip,0.045,0.049,0.047,0.031,0.031,0.034,0.207,1.0,0.02,0.028
text_ib,0.028,0.026,0.028,0.024,0.022,0.025,0.025,0.02,1.0,0.057
text_clap,0.03,0.028,0.028,0.021,0.025,0.021,0.019,0.028,0.057,1.0
