encoder,label,within_block_mean,between_block_mean,block_contrast
audio_ib_orig,label_emotion,0.4388,0.4058,0.033
audio_ib_orig,label_subcategory,0.4449,0.4098,0.0351
audio_ib_orig,label_contributor,0.438,0.4046,0.0334
audio_ib_orig,label_genre_top,0.4789,0.3943,0.0845
audio_ib_random,label_emotion,0.4419,0.4031,0.0389
audio_ib_random,label_subcategory,0.4579,0.4075,0.0504
audio_ib_random,label_contributor,0.4374,0.4025,0.0349
audio_ib_random,label_genre_top,0.4811,0.3916,0.0896
audio_ib_energy,label_emotion,0.4503,0.4084,0.0419
audio_ib_energy,label_subcategory,0.4605,0.4134,0.0471
audio_ib_energy,label_contributor,0.4427,0.4085,0.0343
audio_ib_energy,label_genre_top,0.4874,0.3973,0.09
audio_mert_orig,label_emotion,0.8614,0.8568,0.0047
audio_mert_orig,label_subcategory,0.8621,0.8573,0.0048
audio_mert_orig,label_contributor,0.8599,0.8569,0.003
audio_mert_orig,label_genre_top,0.8663,0.8554,0.0109
audio_mert_random,label_emotion,0.8668,0.8617,0.0051
audio_mert_random,label_subcategory,0.8672,0.8624,0.0049
audio_mert_random,label_contributor,0.8647,0.862,0.0027
audio_mert_random,label_genre_top,0.8713,0.8604,0.0109
audio_mert_energy,label_emotion,0.868,0.8625,0.0055
audio_mert_energy,label_subcategory,0.8686,0.8632,0.0054
audio_mert_energy,label_contributor,0.8658,0.8628,0.003
audio_mert_energy,label_genre_top,0.8722,0.8612,0.011
image_ib,label_emotion,0.3397,0.3375,0.0022
image_ib,label_subcategory,0.345,0.3376,0.0074
image_ib,label_contributor,0.3478,0.3354,0.0123
image_ib,label_genre_top,0.3565,0.3332,0.0233
image_clip,label_emotion,0.4681,0.464,0.004
image_clip,label_subcategory,0.4733,0.4644,0.0089
image_clip,label_contributor,0.4712,0.4631,0.0081
image_clip,label_genre_top,0.4758,0.4619,0.0138
text_ib,label_emotion,0.4299,0.4237,0.0062
text_ib,label_subcategory,0.4315,0.4244,0.0071
text_ib,label_contributor,0.4277,0.4239,0.0038
text_ib,label_genre_top,0.4429,0.4202,0.0227
text_clap,label_emotion,0.5156,0.5062,0.0094
text_clap,label_subcategory,0.5205,0.5072,0.0133
text_clap,label_contributor,0.5082,0.5076,0.0007
text_clap,label_genre_top,0.514,0.5061,0.0079
