encoder,label,silhouette
audio_ib_orig,label_emotion,-0.0468
audio_ib_orig,label_subcategory,-0.1843
audio_ib_orig,label_contributor,-0.0366
audio_ib_orig,label_genre_top,-0.1265
audio_ib_random,label_emotion,-0.0565
audio_ib_random,label_subcategory,-0.1879
audio_ib_random,label_contributor,-0.0259
audio_ib_random,label_genre_top,-0.1143
audio_ib_energy,label_emotion,-0.0567
audio_ib_energy,label_subcategory,-0.1837
audio_ib_energy,label_contributor,-0.0329
audio_ib_energy,label_genre_top,-0.0958
audio_mert_orig,label_emotion,-0.0769
audio_mert_orig,label_subcategory,-0.1849
audio_mert_orig,label_contributor,-0.0457
audio_mert_orig,label_genre_top,-0.1498
audio_mert_random,label_emotion,-0.0834
audio_mert_random,label_subcategory,-0.1843
audio_mert_random,label_contributor,-0.049
audio_mert_random,label_genre_top,-0.1449
audio_mert_energy,label_emotion,-0.0855
audio_mert_energy,label_subcategory,-0.1899
audio_mert_energy,label_contributor,-0.0465
audio_mert_energy,label_genre_top,-0.1613
image_ib,label_emotion,-0.0356
image_ib,label_subcategory,-0.1017
image_ib,label_contributor,-0.026
image_ib,label_genre_top,-0.0781
image_clip,label_emotion,-0.0261
image_clip,label_subcategory,-0.0963
image_clip,label_contributor,-0.0249
image_clip,label_genre_top,-0.0815
text_ib,label_emotion,-0.0293
text_ib,label_subcategory,-0.085
text_ib,label_contributor,-0.0215
text_ib,label_genre_top,-0.059
text_clap,label_emotion,-0.0776
text_clap,label_subcategory,-0.1805
text_clap,label_contributor,-0.0633
text_clap,label_genre_top,-0.179
